,group,n,FigS5_panel,GO,names,withMotif_in_GO,withMotif_not_in_GO,noMotif_in_GO,noMotif_not_in_GO,GO_term_size,percent_of_GO_with_motif,FT_pValue,FT_OR,permutation_mean,permutation_sd,zScore,combinedScore,motif_content
1,canonical,1562,D,GO:0009058,biosynthetic process,187,1375,1683,16920,1870,10,0.000228069,1.367246036,147.625,9.203364769,4.278326567,35.87746637,only canonical
2,canonical,1562,D,GO:0044281,small molecule metabolic process,177,1385,1680,16923,1857,9.531502423,0.003507063,1.287315793,143.7,11.28238927,2.951502487,16.68477352,only canonical
3,canonical,1562,D,GO:0016482,cytosolic transport,19,1543,121,18482,140,13.57142857,0.015987361,1.880861295,10.675,2.822869062,2.949127223,12.19746286,only canonical
4,canonical,1562,D,GO:0016197,endosomal Transport,32,1530,228,18375,260,12.30769231,0.009602951,1.685525494,19.55,5.017661116,2.481235722,11.52703913,only canonical
5,canonical,1562,D,GO:0051186,cofactor metabolic process,43,1519,346,18257,389,11.05398458,0.02090642,1.493655271,29.3,4.863258378,2.817041361,10.89546797,only canonical
6,canonical+phosp,1642,D,GO:0030154,cell differentiation,365,1277,3391,15132,3756,9.717784878,0.000123535,1.275454071,307.475,15.54643582,3.700205029,33.29808437,"canonical, phosph.-gen."
7,canonical+phosp,1642,D,GO:0008219,cell death,210,1432,1831,16692,2041,10.28907398,0.000280009,1.336868643,168.425,11.24297501,3.697864662,30.25107615,"canonical, phosph.-gen."
8,canonical+phosp,1642,D,GO:0000902,Cell morphogenesis,104,1538,795,17728,899,11.56840934,0.000280641,1.507845251,74.775,9.319093991,3.136034471,25.64785699,"canonical, phosph.-gen."
9,canonical+phosp,1642,D,GO:0006464,cellular protein modification process,368,1274,3608,14915,3976,9.255533199,0.004852834,1.194094072,321.575,16.86277572,2.753105465,14.66907569,"canonical, phosph.-gen."
10,canonical+phosp,1642,D,GO:0019538,protein metabolic process,148,1494,1317,17206,1465,10.10238908,0.005432527,1.294191278,120.025,11.09281935,2.521901703,13.15260246,"canonical, phosph.-gen."
11,canonical+acetyl,1856,D,GO:0007010,Cytoskeleton organization,170,1686,995,17314,1165,14.59227468,8.00E-10,1.754487966,107.65,8.346809616,7.469919989,156.4649849,a
12,canonical+acetyl,1856,D,GO:0044085,cellular component biogenesis,310,1546,2343,15966,2653,11.68488504,4.54E-06,1.366369575,244.525,14.11125665,4.639912777,57.07809038,a
13,canonical+acetyl,1856,D,GO:0030030,cell projection organization,173,1683,1170,17139,1343,12.88160834,4.08E-06,1.505739109,122.025,11.90019931,4.283541702,53.15131311,a
14,canonical+acetyl,1856,D,GO:0006457,protein folding,42,1814,191,18118,233,18.02575107,2.92E-05,2.196065789,20.825,4.482944888,4.723457577,49.3184774,a
15,canonical+acetyl,1856,D,GO:0016071,mRNA metabolic process,95,1761,598,17711,693,13.70851371,7.49E-05,1.597686395,63.475,7.278304607,4.331365847,41.14391349,a
16,canonical+phosp+acetyl,4211,D,GO:0007010,Cytoskeleton organization,449,3762,716,15238,1165,38.54077253,8.79E-46,2.539751031,241.9,15.06022099,13.75145823,1426.652831,"canonical, phosph.-gen., acetyl.-gen."
17,canonical+phosp+acetyl,4211,D,GO:0030030,cell projection organization,457,3754,886,15068,1343,34.02829486,4.51E-31,2.070297635,278.15,14.6349599,12.22073728,853.9000923,"canonical, phosph.-gen., acetyl.-gen."
